"nuts_id";"levl_code";"cntr_code";"name_latn";"nuts_name";"mount_type";"urbn_type";"coast_type";"fid";"suitability_class_mean";"suitability_class_max";"suitability_class_min"
"ES512";"3";"ES";"Girona";"Girona";"2";"2";"1";"ES512";"5,96703296703297";"9";"3"
"ES241";"3";"ES";"Huesca";"Huesca";"2";"2";"3";"ES241";"5,33469387755102";"9";"3"
"ES707";"3";"ES";"La Palma";"La Palma";"3";"2";"1";"ES707";"5,60000000000000";"7";"4"
"ES708";"3";"ES";"Lanzarote";"Lanzarote";"4";"2";"1";"ES708";"8,18181818181818";"9";"7"
"ES419";"3";"ES";"Zamora";"Zamora";"4";"3";"3";"ES419";"5,41916167664671";"8";"3"
"ES709";"3";"ES";"Tenerife";"Tenerife";"3";"1";"1";"ES709";"5,36666666666667";"8";"4"
"ES425";"3";"ES";"Toledo";"Toledo";"4";"2";"3";"ES425";"5,00858369098712";"7";"2"
"ES413";"3";"ES";"León";"León";"2";"2";"3";"ES413";"6,01639344262295";"9";"2"
"ES612";"3";"ES";"Cádiz";"Cádiz";"4";"1";"1";"ES612";"5,41666666666667";"7";"3"
"ES706";"3";"ES";"La Gomera";"La Gomera";"3";"3";"1";"ES706";"5,60000000000000";"6";"5"
"ES511";"3";"ES";"Barcelona";"Barcelona";"2";"1";"1";"ES511";"5,70161290322581";"8";"3"
"ES522";"3";"ES";"Castellón/Castelló";"Castellón/Castelló";"2";"2";"1";"ES522";"5,80000000000000";"7";"4"
"ES531";"3";"ES";"Eivissa y Formentera";"Eivissa y Formentera";"4";"2";"1";"ES531";"5,88888888888889";"7";"5"
"ES412";"3";"ES";"Burgos";"Burgos";"2";"2";"3";"ES412";"5,44144144144144";"8";"2"
"ES514";"3";"ES";"Tarragona";"Tarragona";"2";"2";"1";"ES514";"5,59595959595960";"7";"4"
"ES521";"3";"ES";"Alicante/Alacant";"Alicante/Alacant";"2";"1";"1";"ES521";"5,68965517241379";"7";"4"
"ES513";"3";"ES";"Lleida";"Lleida";"2";"2";"3";"ES513";"6,27513227513228";"9";"4"
"ES532";"3";"ES";"Mallorca";"Mallorca";"4";"1";"1";"ES532";"5,96363636363636";"7";"5"
"ES533";"3";"ES";"Menorca";"Menorca";"4";"2";"1";"ES533";"5,18181818181818";"6";"5"
"ES431";"3";"ES";"Badajoz";"Badajoz";"4";"2";"3";"ES431";"4,89230769230769";"7";"3"
"ES613";"3";"ES";"Córdoba";"Córdoba";"4";"1";"3";"ES613";"5,01951219512195";"7";"3"
"ES432";"3";"ES";"Cáceres";"Cáceres";"4";"2";"3";"ES432";"5,93399339933993";"8";"3"
"ES523";"3";"ES";"Valencia/València";"Valencia/València";"2";"1";"1";"ES523";"5,92073170731707";"7";"3"
"ES611";"3";"ES";"Almería";"Almería";"2";"2";"1";"ES611";"6,31496062992126";"7";"5"
"ES424";"3";"ES";"Guadalajara";"Guadalajara";"3";"2";"3";"ES424";"5,76595744680851";"7";"3"
"ES615";"3";"ES";"Huelva";"Huelva";"4";"2";"1";"ES615";"4,82666666666667";"10";"3"
"ES418";"3";"ES";"Valladolid";"Valladolid";"4";"2";"3";"ES418";"5,45312500000000";"7";"4"
"ES415";"3";"ES";"Salamanca";"Salamanca";"4";"2";"3";"ES415";"5,44736842105263";"7";"2"
"ES421";"3";"ES";"Albacete";"Albacete";"4";"2";"3";"ES421";"5,52466367713004";"7";"3"
"ES614";"3";"ES";"Granada";"Granada";"3";"2";"1";"ES614";"5,69565217391304";"8";"3"
"ES211";"3";"ES";"Araba/Álava";"Araba/Álava";"3";"1";"3";"ES211";"4,79591836734694";"7";"3"
"ES212";"3";"ES";"Gipuzkoa";"Gipuzkoa";"2";"1";"1";"ES212";"5,96969696969697";"7";"4"
"ES414";"3";"ES";"Palencia";"Palencia";"4";"2";"3";"ES414";"5,07086614173228";"8";"2"
"ES130";"3";"ES";"Cantabria";"Cantabria";"2";"2";"1";"ES130";"6,69318181818182";"9";"2"
"ES230";"3";"ES";"La Rioja";"La Rioja";"2";"2";"3";"ES230";"5,14814814814815";"8";"3"
"ES242";"3";"ES";"Teruel";"Teruel";"3";"3";"3";"ES242";"5,54385964912281";"7";"3"
"ES114";"3";"ES";"Pontevedra";"Pontevedra";"2";"2";"1";"ES114";"7,00000000000000";"7";"7"
"ES113";"3";"ES";"Ourense";"Ourense";"3";"3";"3";"ES113";"6,94642857142857";"8";"6"
"ES120";"3";"ES";"Asturias";"Asturias";"2";"2";"1";"ES120";"7,32954545454545";"9";"4"
"ES417";"3";"ES";"Soria";"Soria";"4";"3";"3";"ES417";"5,09493670886076";"7";"3"
"ES243";"3";"ES";"Zaragoza";"Zaragoza";"2";"1";"3";"ES243";"4,96254681647940";"7";"2"
"ES111";"3";"ES";"A Coruña";"A Coruña";"2";"2";"1";"ES111";"7,00000000000000";"7";"7"
"ES112";"3";"ES";"Lugo";"Lugo";"2";"3";"1";"ES112";"7,05660377358491";"8";"6"
"ES422";"3";"ES";"Ciudad Real";"Ciudad Real";"4";"2";"3";"ES422";"4,56462585034014";"7";"2"
"ES620";"3";"ES";"Murcia";"Murcia";"2";"1";"1";"ES620";"5,90361445783132";"7";"4"
"ES703";"3";"ES";"El Hierro";"El Hierro";"3";"3";"1";"ES703";"5,00000000000000";"6";"4"
"ES704";"3";"ES";"Fuerteventura";"Fuerteventura";"4";"2";"1";"ES704";"9,00000000000000";"9";"9"
"ES705";"3";"ES";"Gran Canaria";"Gran Canaria";"2";"1";"1";"ES705";"6,90000000000000";"8";"6"
"ES300";"3";"ES";"Madrid";"Madrid";"4";"1";"3";"ES300";"5,45000000000000";"8";"3"
"ES618";"3";"ES";"Sevilla";"Sevilla";"4";"1";"3";"ES618";"5,25728155339806";"10";"3"
"ES411";"3";"ES";"Ávila";"Ávila";"3";"3";"3";"ES411";"6,29365079365079";"8";"4"
"ES616";"3";"ES";"Jaén";"Jaén";"3";"2";"3";"ES616";"5,11055276381910";"7";"3"
"ES617";"3";"ES";"Málaga";"Málaga";"2";"1";"1";"ES617";"5,73333333333333";"7";"3"
"ES220";"3";"ES";"Navarra";"Navarra";"3";"2";"3";"ES220";"4,85365853658537";"8";"2"
"ES416";"3";"ES";"Segovia";"Segovia";"4";"3";"3";"ES416";"5,63888888888889";"7";"4"
"ES423";"3";"ES";"Cuenca";"Cuenca";"4";"3";"3";"ES423";"5,39230769230769";"7";"3"
"ES213";"3";"ES";"Bizkaia";"Bizkaia";"3";"1";"1";"ES213";"4,75000000000000";"7";"2"
"SE213";"3";"SE";"Kalmar län";"Kalmar län";"4";"3";"1";"SE213";"5,68163265306122";"7";"5"
"SE221";"3";"SE";"Blekinge län";"Blekinge län";"4";"2";"1";"SE221";"5,04838709677419";"6";"5"
"SE313";"3";"SE";"Gävleborgs län";"Gävleborgs län";"4";"2";"1";"SE313";"7,46666666666667";"10";"6"
"SE331";"3";"SE";"Västerbottens län";"Västerbottens län";"4";"2";"1";"SE331";"8,38551980198020";"10";"6"
"SE332";"3";"SE";"Norrbottens län";"Norrbottens län";"4";"2";"1";"SE332";"8,66229193341869";"10";"6"
"SE122";"3";"SE";"Södermanlands län";"Södermanlands län";"4";"2";"1";"SE122";"5,73417721518987";"10";"5"
"SE311";"3";"SE";"Värmlands län";"Värmlands län";"4";"2";"3";"SE311";"6,79166666666667";"10";"5"
"SE121";"3";"SE";"Uppsala län";"Uppsala län";"4";"2";"1";"SE121";"5,39898989898990";"10";"5"
"SE212";"3";"SE";"Kronobergs län";"Kronobergs län";"4";"3";"3";"SE212";"5,57142857142857";"10";"5"
"SE224";"3";"SE";"Skåne län";"Skåne län";"4";"2";"1";"SE224";"3,66956521739130";"6";"2"
"SE110";"3";"SE";"Stockholms län";"Stockholms län";"4";"1";"1";"SE110";"5,51700680272109";"10";"5"
"SE125";"3";"SE";"Västmanlands län";"Västmanlands län";"4";"2";"3";"SE125";"6,24060150375940";"10";"5"
"SE231";"3";"SE";"Hallands län";"Hallands län";"4";"2";"1";"SE231";"5,07377049180328";"6";"5"
"SE232";"3";"SE";"Västra Götalands län";"Västra Götalands län";"4";"1";"1";"SE232";"6,21360759493671";"10";"5"
"SE322";"3";"SE";"Jämtlands län";"Jämtlands län";"4";"3";"3";"SE322";"8,96344086021505";"10";"6"
"SE123";"3";"SE";"Östergötlands län";"Östergötlands län";"4";"2";"1";"SE123";"5,69741697416974";"10";"3"
"SE321";"3";"SE";"Västernorrlands län";"Västernorrlands län";"4";"2";"1";"SE321";"7,41709401709402";"10";"6"
"SE312";"3";"SE";"Dalarnas län";"Dalarnas län";"4";"3";"3";"SE312";"7,40607734806630";"10";"6"
"SE211";"3";"SE";"Jönköpings län";"Jönköpings län";"4";"2";"3";"SE211";"6,12350597609562";"10";"5"
"SE124";"3";"SE";"Örebro län";"Örebro län";"4";"2";"3";"SE124";"6,29333333333333";"10";"4"
"SE214";"3";"SE";"Gotlands län";"Gotlands län";"4";"3";"1";"SE214";"4,88732394366197";"9";"4"
